text,rating,label,clean_text,text_length
kok susah di download ya,4,positive,susah download ya,17
Ah makin kesini makin ga jelas banget,1,negative,ah kesini ga banget,19
Banyak bot,1,negative,bot,3
"Videonya sering banget berhenti berputar. Harus mulai ulang ponsel biar bekerja lagi, ngeselin.",4,positive,video banget henti putar ulang ponsel biar ngeselin,51
Dikit dikit di tangguhkan parah🙄,1,negative,dikit dikit tangguh parah,25
CCD suka keluar sendiri,1,negative,ccd suka,8
apk yg sangat membntuuntuk mengetahui sgla brita darii penjuru dunia,5,positive,apk yg membntuuntuk sgla brita dari penjuru dunia,49
Hari ini Rabu 18-12-24 aplikasi ini bermasalah🤔,5,positive,rabu aplikasi masalah,21
Lama-lama twiter susah d buka . Gk sprti fb . Tolong d prbaiki kualitas nya,1,negative,twiter susah d buka gk sprti fb tolong d prbaiki kualitas nya,61
Udah gak bener nih,5,positive,udah gak bener nih,18
"AKUN SAYA JARANG DIBUKA DAN TIDAK YG ANEH"" DI AKUN SAYA MALAH DIBLOKIR PERMANEN! KAN TOLOL",1,negative,akun jarang buka yg aneh akun blokir permanen tolol,51
"banyak bug banyak video di blocking dan ""maaf kesalahan teknis""",1,negative,bug video blocking maaf salah teknis,36
Ka bisa d buka aplikasiny,1,negative,ka d buka aplikasiny,20
Apl mantap,4,positive,apl mantap,10
Di tangguhkan kaya kentut,1,negative,tangguh kaya kentut,19
Karena aku bisa tau tweetnya JKT48 hhehe👉👈,5,positive,tau tweetnya jkt hhehe,22
Aplikasi gak jelas mau daftar berkali-kali eror mulu kesalahan teknis terus,1,negative,aplikasi gak daftar kali kali eror mulu salah teknis,52
Makin hari makin ngk aja,1,negative,ngk aja,7
sering banget di tangguhkan padahal gak aneh aneh,1,negative,banget tangguh gak aneh aneh,28
Berkembang sesuai tuntutan jaman.,5,positive,kembang sesuai tuntut jaman,27
Sudah pakai aplikasi sejak lama tapi sejak ganti pemilik & berubah nama jadi X ini aplikasi semakin bobrok hancur.. mending uninstall aja dari pada pusing,1,negative,pakai aplikasi ganti milik ubah nama x aplikasi bobrok hancur mending uninstall aja pusing,90
Bagus aja si buat liat konten orang seru gitu ah,4,positive,bagus aja si liat konten orang seru gitu ah,43
Aplikasi tolol. lag semua video foto,1,negative,aplikasi tolol lag video foto,29
aplikasi bagus untuk melihat video geli,5,positive,aplikasi bagus video geli,25
"Mending aplikasinya di hapus dari playstore, masa mau daftar ga bisa",1,negative,mending aplikasi hapus playstore daftar ga,42
"apaan si, gue masukkin tahun lahir 2000 malah otomatis 2025 jadinya akun gue terkunci apa maksudnya👊🏻",1,negative,si gue masukkin lahir otomatis akun gue kunci maksud,52
Mudah²n bisa Monet,5,positive,mudah n monet,13
Masuk nya ribet,1,negative,masuk nya ribet,15
coba coba apk nya dulu,5,positive,coba coba apk nya,17
Mantao,5,positive,mantao,6
Aplikasi ini semakin lama semakin kayak sampah,1,negative,aplikasi kayak sampah,21
buka tanguhkan daily kreme gaa! maksa banget ini.,3,neutral,buka tanguhkan daily kreme gaa maksa banget,43
Lelet banget,5,positive,lelet banget,12
X apa sih sumpah sekarang jelek banget sebelum jadi x ga kaya gini bentar bentar stuck bentar bentar minta update buat ngefix stuck nya apa sih malah jadi gini banget,1,negative,x sih sumpah jelek banget x ga kaya gin bentar bentar stuck bentar bentar update ngefix stuck nya sih gin banget,112
karna saya sukaaa,5,positive,karna sukaa,11
Kebanyakan iklan gak jelas,1,negative,banyak iklan gak,16
Payah. Kode verifikasi tidak dikirim melalui email. Kalo kayak gini gimana bisa buat akun. Payah. Makin kesini makin jelek ini aplikasi,1,negative,payah kode verifikasi kirim email kalo kayak gin gimana akun payah kesini jelek aplikasi,88
ok aja si ni apk,5,positive,ok aja si ni apk,16
Pemutaran video bug,1,negative,putar video bug,15
Sangat membantu untuk menghilangkan pikiran yg lgi bete dn informasi dunia luar,5,positive,bantu hilang pikir yg lgi bete dn informasi dunia,49
Very bad apps,1,negative,very bad apps,13
Kureng,1,negative,reng,4
"My account got suspended permanent with no reason? Wow by X i hate you, my account has fine since 2015, and now got suspended permanent",1,negative,my account got suspended permanent with no reason wow by x i hate you my account has fine since and now got suspended permanent,127
"Aplikasi tolol tiba"" Tiba tiba keluar sendiri terus ga bisa masuk lagi ke akun nya",1,negative,aplikasi tolol ga masuk akun nya,32
saya ga salah apa apa cuma baca au doang aja diban tiba tiba semua akun lagi jadi saya hapis berkali kali,3,neutral,ga salah baca au doang aja ban akun hap kali kali,49
Youuu nice,5,positive,youu nice,9
Loding mulu njir padahal wifi anteng anteng ajh... Benerin dong badmood banget nunggu loading terus,1,negative,loding mulu njir wifi anteng anteng ajh benerin badmood banget nunggu loading,77
"Makan kecubung berapa banyak nih dev nya, masa aplikasi lama tapi bug makin banyak.",1,negative,makan kecubung nih dev nya aplikasi bug,39
Aplikasi ketika buka dm suka keluar sendiri,1,negative,aplikasi buka dm suka,21
Terima kasih banyak atas informasinya update versi terbaru nya....!!!!,5,positive,terima kasih informasi update versi baru nya,44
Anehhh sekarahg tiba tiba postingan yang kita retweet dan sukai tiba² banget hikang padahal di akun aslinya masih ada benerih deh tuh apk sebelum ini bagus bagus aja,1,negative,anehh sekarahg postingan retweet suka tiba banget hikang akun asli benerih deh tuh apk bagus bagus aja,102
Ga jls anjir suka kluar sndri,1,negative,ga jls anjir suka kluar sndri,29
kurang suka sama logo nya,3,neutral,suka logo nya,13
"buka dm tiba-tiba keluar sendiri, sering nge bug gajelas juga",1,negative,buka dm nge bug gajelas,23
"makin kesini makin seenaknya suspen akun , padahal gua bikin akun buat up kpop , BALIKIN TWITTER YANG DULU",1,negative,kesini suspen akun gua bikin akun up kpop balikin twitter,57
"Bagi yang bug atau lain-lain, mungkin aplikasi ini terlalu bagus untuk smartphone anda. Karena saya pengguna dari 2010, dan menurut saya sosmed ini adalah yang terbaik dan paling aman daripada sosmed yang lain. Jadi smartphone anda juga harus di update, Udah kentang masih dipakai aja",5,positive,bug aplikasi bagus smartphone guna sosmed baik aman sosmed smartphone update udah kentang pakai aja,99
"Ini parah banget sih,videonya diam saja tidak mau memutar, padahal jaringan internet sudah bagus,aneh ini pribadiki segera",1,negative,parah banget sih video diam putar jaring internet bagus aneh pribadiki,70
"Sering keluar sendiri,, banyak iklan ga jelas",1,negative,iklan ga,8
Emang koplak ini aplikasi mau lagin aja susah banget tolo l bet dah,2,negative,emang koplak aplikasi lagin aja susah banget tolo l bet dah,59
Kenapa X sekarang kok susah buat liat gambar,3,neutral,x susah liat gambar,19
gara gara ganti no hp gk bisa masuk lagi ke akun sendiri padahal daftar nya pakai email🤬🤬,1,negative,gara gara ganti no hp gk masuk akun daftar nya pakai email,58
bc this app made me close with my idol,5,positive,bc this app made me close with my idol,38
"Akhir akhir ini sering ngelag suka keluar sendiri gatau knpa, semoga bisa lebih baik lagi yaa..",4,positive,ngelag suka gatau knpa moga yaa,31
Mantaaaaaf,5,positive,mantaaf,7
"Makin kesini makin jelek,udah sering kali logout sendiri mana lagi scrol scrol video lagi huffff...smoga cepet di perbaiki lagi deh",1,negative,kesini jelek udah kali logout scrol scrol video huff smoga cepet baik deh,73
"Loadingnya makin lemot, semacam hp jadul padahal hp ku pakek v27e. Twitter emg udh tusbol",1,negative,loadingnya lot hp jadul hp ku pakek ve twitter emg udh tusbol,61
"nyesel update, malah ga bisa kirim foto wkwk aneh",1,negative,nyesel update ga kirim foto wkwk aneh,37
Menonton Film lokal,3,neutral,tonton film lokal,17
Kenpa akun ku di posit,5,positive,kenpa akun ku posit,19
"Jika akun X milikku dapat diakses kembali, maka akan ku beri bintang lima.",1,negative,akun x milik akses ku bintang,29
"""Please ensure that this app does not display inappropriate content, such as pornography or material that violates policies, to maintain a safe and comfortable user experience."" This app displays many uncensored pornographic videos. Please filter and remove such content to ensure inappropriate material is not shown."" #aplikasi por*no?",1,negative,please ensure that this app does not display inappropriate content such as pornography or material that violates policies to maintain a safe and comfortable user experience this app displays many uncensored pornographic videos please filter and remove such content to ensure inappropriate material is not shown por no,317
"kok X saya nggak bisa dibuka pada saat pakai kuota sendiri ya? kalau pakai wifi itu lancar lancar aja, padahal kuota masih banyak dan buka aplikasi lain pun lancar. terus ini ada pemberitahuan bahwa program beta nya sudah penuh, itu maksudnya apa ya? tolong jawabannya!",3,neutral,x nggak buka pakai kuota ya pakai wifi lancar lancar aja kuota buka aplikasi lancar pemberitahuan program beta nya penuh maksud ya tolong jawab,143
Mudah-an memberikan yg lebih baik.,5,positive,mudah an yg,11
Sangat membantu dalam mengetahui berita internasional,5,positive,bantu berita internasional,26
Pertahankan originalitas pemberitaan nya.,5,positive,tahan originalitas berita nya,29
Saya kasih ranting 3 dulu.kalo akun baruku ini sampe di batasi lagi sama x aku udah males pake x,2,negative,kasih ranting kalo akun baru sampe batas x udah males pake x,60
Saat lagi scroll sering ke refresh sendiri,1,negative,scroll refresh,14
Sng bgt bisa ntn di sini,5,positive,sng bgt ntn,11
Jelek nggak bisa di buka,1,negative,jelek nggak buka,16
kenapa saya tidak bisa melihat kembali postingan yang saya sukai?,1,negative,postingan suka,14
"Tambah hari tambah gajelas ni aplikasi,, ga kenapa"" tiba"" logout pas mau login gabisa",1,negative,gajelas ni aplikasi ga logout pas login gabisa,46
Bikin akun ajah susah banget di bagian masukin nama🗿🗿,1,negative,bikin akun ajah susah banget masukin nama,41
apk nya bangett bangettt,1,negative,apk nya bangett bangett,23
"Jelek, jaringan bagus tapi loding loding, Bitang satu ajalah ,udah cukup itu gak usah banyak banyak bintang nya, nanti gak ternawa",1,negative,jelek jaring bagus loding loding bitang aja udah gak bintang nya gak nawa,73
Salah satu aplikasi terbaik di Android,5,positive,salah aplikasi baik android,27
Sangat bagus untuk melihat impormasi dunia,5,positive,bagus impormasi dunia,21
ayooo ngapain download ini😏🗿,3,neutral,ayoo ngapain download,21
Sangat bangus dan mengesankan ❤️❤️❤️❤️,5,positive,bangus kesan,12
"gabisa login, mau reset kata sandi dan username ga bisa",1,negative,gabisa login reset sandi username ga,36
Di update malah lemot banget,3,neutral,update lot banget,17
good app for X,5,positive,good app for x,14
Sangat meyenakan,5,positive,meyenakan,9
Tiba tiba akun ditangguhkan g tau kesalahan apa.... Sudah ajukan banding beberapa kali tidak ada respon... Kecewa sih,1,negative,akun tangguh g tau salah aju banding kali respon kecewa sih,59
Aplikasi Pinjol yang bisa dipercaya. Segera download,4,positive,aplikasi pinjol percaya download,32
JANGAN INSTAL & PAKE APK INI MERUGIKAN!.,1,negative,instal pake apk rugi,20
keseringan disruh upgrade,2,negative,sering disruh upgrade,21
"Suka tiba"" muncul "" masukan kode"" padahal ud",2,negative,suka muncul masuk kode ud,25
information global there is accurate,4,positive,information global there is accurate,36
"Pliss kalo mau edit profil dipermudah, apa apa eror ga jelas",1,negative,pliss kalo edit profil mudah eror ga,36
Banyak pengalaman dan ilmu,5,positive,alam ilmu,9
App sosialita yg mudah banyak update infonya mantaplah,5,positive,app sosialita yg mudah update info mantap,41
Video di timeline sering buffering padahal sinyal kencang,2,negative,video timeline buffering sinyal kencang,39
LaMa bnget loadingya,5,positive,bnget loadingya,15
Keren banyak video kesukaan ku,5,positive,keren video suka ku,19
kenapa selalu unistal sendiri apa lagi masa perbaikan,1,negative,unistal baik,12
knp sering bermasalah sih?,1,negative,knp masalah sih,15
"Patah saya mau bikin aku baru lagi gak bisa malah di suruh pilih gambar kecewa banget semua abdete twiter semakin gak jelas dan setiap saya nonton vidio selalu macet "" Tolong dong lebih di perbaiki lagi biar orang "" Nyaman dan suka bermain twiter, kenapa semenjak update jadi makin susah nonto vidio ya tolong dong di perbaiki lagi",1,negative,patah bikin gak suruh pilih gambar kecewa banget abdete twiter gak nonton vidio macet tolong baik biar orang nyaman suka main twiter semenjak update susah nonto vidio ya tolong baik,181
"Bagus sekali, untuk melihat berita sedunia",5,positive,bagus berita dunia,18
Satu hati sampai mati,5,positive,hati mati,9
Makin ksni makin jelek...udh lama ga d buka skli d buka tiba2 akun d kunci oleh pihak twitter...kan aneh...tiada kan sklian twitter drpda bikin ribet pengguna,1,negative,ksni jelek udh ga d buka skli d buka akun d kunci twitter aneh tiada sklian twitter drpda bikin ribet guna,106
Segitu dulu,4,positive,segitu,6
makin ngk beres nih aplikasi akun gw hilang tolong dong tanggung jawabnya,1,negative,ngk beres nih aplikasi akun gw hilang tolong tanggung,53
Exited sekali,5,positive,exited,6
Aplikasi knt masuk aja ribet,1,negative,aplikasi knt masuk aja ribet,28
gmn caranya biar ga slalu ditangguhkan,5,positive,gmn biar ga slalu tangguh,25
apk silitt mau bukan segala stuck logo,2,negative,apk silitt stuck logo,21
Alhamdulilah.....,5,positive,alhamdulilah,12
"lebih prefer twitter ketimbang X makin aneh pokoknya, experience nya menurun",3,neutral,prefer twitter ketimbang x aneh pokok experience nya turun,58
Buat hiburan dewasa ini banyak tambah pengalaman,5,positive,hibur dewasa alam,17
"Perbaiki lagi, saat melihat profil gulir kebawah dan klik postingan lalu keluar dari postingan kenapa ketarik paling atas profil",2,negative,baik profil gulir bawah klik postingan postingan tarik profil,61
"Wow.. Aplikasi jelek kerjanya cuma bisa Suspend akun , sangat tidak cocok buat kebaikan 👎",1,negative,wow aplikasi jelek kerja suspend akun cocok baik,48
Sering lemott dan lag,3,neutral,lemott lag,10
The app is full of scams,1,negative,the app is full of scams,24
"Duit dah dipotong, selang 3 hari akun di tangguhkan ngerampok dengan gaya kyknya",1,negative,duit dah potong selang akun tangguh ngerampok gaya kyknya,57
"tolong dong pihak x di perbaiki lagi apk nya, x saya selalu logout dan itu sering bangett",1,negative,tolong x baik apk nya x logout bangett,38
Force logout terus kalo lagi buka DM,1,negative,force logout kalo buka dm,25
Oohhhhh,4,positive,oohh,4
"Luarbiasa, mudah dan cepat.",4,positive,luarbiasa mudah cepat,21
Kalo masuk lagi masa ga bisa,3,neutral,kalo masuk ga,13
"Mudah mendapatkan info, mengibur",5,positive,mudah info mengibur,19
"suka si, cmn ya. verifikasinya loh?, aku uda chek email, tp g ad gt loh?, kode kan? iy ga ad. ad apsiii.",3,neutral,suka si cmn ya verifikasi loh uda chek email tp g ad gt loh kode iy ga ad ad apsii,82
Biometrik Al courrence is the best,5,positive,biometrik al courrence is the best,34
"gajelas tiba"" akun ke logout, pas mau login kesalahan teknis",1,negative,gajelas akun logout pas login salah teknis,42
SETELAH UPDATE. SAYA TIDAK BISA POST VIDEO VIA APLIKASI. TAPI LEWAT CHROME/BROWSER BISA,1,negative,update post video via aplikasi chrome browser,45
Membuka cakrawala tentang semuanya,5,positive,buka cakrawala,14
"kenapa setiap saya like postingan org lain,beberapa hari kedepan like saya hilang dipostinga itu",2,negative,like postingan org depan like hilang dipostinga,47
Makin kesini makin lemot. Kadang keluar sendiri...,2,negative,kesini lot kadang,17
Mamtep,5,positive,mamtep,6
"Bagus saya bisa menggunakan dg baik , tapi sayang akun ku sering ke suspend padahal cuma ingin buat cari uang , sensitif banget Twitter nie",5,positive,bagus dg sayang akun ku suspend cari uang sensitif banget twitter nie,69
There are a lot of unreasonable rules and everyone has to pay for everything!!!!!,1,negative,there are a lot of unreasonable rules and everyone has to pay for everything,76
Saya senang dengan X tlg jangan sering diblokir. T erganggu.,3,neutral,senang x tlg blokir t erganggu,30
Itu saja dariku. Hanya saja semoga tidak jadi seburuk FB,4,positive,dari moga buruk fb,18
No rekomended,1,negative,no rekomended,13
Tiba tiba masuk shopee 🥱👎🏻,1,negative,masuk shopee,12
Banyak vidio permasalahan,1,negative,vidio masalah,13
Ganti apk X jdi ngk bisa buka semuanya akun pada ditahan jelek banget,1,negative,ganti apk x jdi ngk buka akun tahan jelek banget,48
"Sudah scrol kebawah tiba tiba balik ke atas,payah",1,negative,scrol bawah payah,17
Kocak nih aplikasi edit profil aja ga beres beres kalau masih belum bisa juga gua edit profil gua fix uninstall,1,negative,kocak nih aplikasi edit profil aja ga beres beres gua edit profil gua fix uninstall,83
VIDEO *BOKKEPP* MANTAP,3,neutral,video bokkepp mantap,20
Sering kena band trs,1,negative,kena band trs,13
Kenapa punya saya ditangguhkan... Aplikasi aneh....,5,positive,tangguh aplikasi aneh,21
"Aplikasi ini kenapa si, baru aja login setelah sekian lama, Tiba-tiba ada notif pembatasan karena melakukan pelanggaran aturan X, padahal belum melakukan apapun, sekarang jadi gk bisa melakukan apapun dan di batasi pada mode Read-only.",1,negative,aplikasi si aja login sekian notif batas langgar atur x apa gk apa batas mode read only,87
Bintang lima...dlm menghabiskan kouta dan baterai,5,positive,bintang dlm habis kouta baterai,31
Ngak bisa di bukak lemot,1,negative,ngak bukak lot,14
"ribet banget mau masuk, mentang mentang dah lama ga masuk sekali nya mau masuk banyak banget ini itu nya, mending uninstall aja lagih dari pada ribet banget,,, UNINSTALL APLIKASI SO KERAS",1,negative,ribet banget masuk mentang mentang dah ga masuk nya masuk banget nya mending uninstall aja lagih ribet banget uninstall aplikasi so keras,137
Parah sih ni aplikasi,1,negative,parah sih ni aplikasi,21
"refresh sendiri,akun ku di blokir tb tb",1,negative,refresh akun ku blokir tb tb,28
"Semakin lelet, ngga bisa di refresh. Buka notif juga susah",1,negative,lelet ngga refresh buka notif susah,35
Terlalu banyak iklan mengganggu,2,negative,iklan ganggu,12
Tiba tiba kerefresh sndiri pas scroll tl,3,neutral,kerefresh sndiri pas scroll tl,30
Terrrrrhbaik,5,positive,terrhbaik,9
"LOGIN AJA SUSAH BGT TIBA"" AKUN GUE DI TANGGUHKAN BARU AJA LOGIN WOI SALAH APA COBA GJLS",1,negative,login aja susah bgt akun gue tangguh aja login woi salah coba gjls,66
apk nya bagus cuman sayang banget akunnya gampang ke retas,3,neutral,apk nya bagus cuman sayang banget akun gampang retas,52
"Video bokep sering lolos, risih",1,negative,video bokep lolos risih,23
Impresive for ooen source every information,5,positive,impresive for ooen source every information,43
Mantap sip,5,positive,mantap sip,10
Keep the good work,5,positive,keep the good work,18
Kenapa acouent terkunci😩😩,1,negative,acouent kunci,13
Kereenn Baguss,5,positive,kereenn baguss,14
Naise,5,positive,naise,5
Ribet susah loging,1,negative,ribet susah loging,18
kok gampang keluar sendiri sih ?,1,negative,gampang sih,11
Lumayan nambah ilmu pengetahuan,5,positive,lumayan nambah ilmu tahu,24
Payah....akunku gag bisa dibuka...pdhal sandi sudah bener...... Semenjak ganti nama.....melon....tambah parah....bobroknya,1,negative,payah akun gag buka pdhal sandi bener semenjak ganti nama melon parah bobrok,76
"Akun saya dibatasi koq sampai begitu ya, padahal sy hanya nonton aj & sy bukan kreator atau apalah, bintang sy turunin jadi 1 mengecewakan",1,negative,akun batas koq ya sy nonton aj sy kreator apa bintang sy turunin kecewa,71
"Ga pernah posting apa apa tapi akunnya di tangguhkan,,masih bagus Twitter dulu ga banyak kebijakan yang ga jelas,,semenjak ganti nama jadi X malah semrawut ga jelas kebijakannya malah ribet kaya benang kusut",1,negative,ga posting akun tangguh bagus twitter ga bijak ga semenjak ganti nama x semrawut ga bijak ribet kaya benang kusut,113
"Heran akun ditangguhkan mulu, akun kosongan gak pernah post cuma scroll² doang",1,negative,heran akun tangguh mulu akun kosong gak post scroll doang,57
Apaan tbtb keluar semua akun dan gabisa login ulang,1,negative,tbtb akun gabisa login ulang,28
Ada beberaa vidio yang tida wajar,1,negative,beberaa vidio tida wajar,24
"Bagus ,buat liat updatean idoll juga",5,positive,bagus liat updatean idoll,25
"Lon, mending lu jual lg apk x .. makin kacau diurus sama lu lon.",1,negative,lon mending lu jual lg apk x kacau urus lu lon,46
Sangat menarik perhatian,5,positive,tarik perhati,13
X ni lama² gk jls,1,negative,x ni lama gk jls,16
akun saya yang dulu kok gak bisa ya? terus mau masuk gak bisa,1,negative,akun gak ya masuk gak,21
Woi napa gak bisa login ke akun woi,1,negative,woi napa gak login akun woi,27
Lumayan mnghibur saya,4,positive,lumayan mnghibur,16
I hate this app,1,negative,i hate this app,15
Aplikasi ga bermanfaat,1,negative,aplikasi ga manfaat,19
"Saya kesulitan login di aplikasi, hanya berulangkali kembali ke menu login, tapi di browser bisa, apakah ada bug? Tolong bantuannya",1,negative,sulit login aplikasi berulangkali menu login browser bug tolong bantu,69
Susah untuk merubah kata sandi,1,negative,susah rubah sandi,17
Tolong di perbaiki sinkronisasi datanya tidak bisa.,5,positive,tolong baik sinkronisasi data,29
Aplikasi nya bagus tak bikin kesel yg posting cukup lah buat menghibur dan ada banyak ragam nya kalo di cari apa yang mau di cari walau terkadang ada yg mau di cari yg muncul yang lain ya mungkin di batasi barang kali yah,4,positive,aplikasi nya bagus bikin kesel yg posting hibur ragam nya kalo cari cari terkadang yg cari yg muncul ya batas barang kali yah,125
"lemot banget tiap buka X , padahal sinyal bagus",1,negative,lot banget buka x sinyal bagus,30
Saya bisa nonton apa aja sesuka saya banyak flm seru lainnya,5,positive,nonton aja suka flm seru,24
"I love Twitter, X",5,positive,i love twitter x,16
Lelet. Padahal jaringan bagus,1,negative,lelet jaring bagus,18
"ga jelas banget, akun ku tiba-tiba di tangguhkan padahal ga pernah ngepost sesuatu yang fulgar gitu, mana udah minta pengajuan sama aja ga ada hasil nya, capek banget kalo ada keperluan jadi susah, buat akun lagi juga ga bisa tolong ini gimana?",2,negative,ga banget akun ku tangguh ga ngepost fulgar gitu udah aju aja ga hasil nya capek banget kalo perlu susah akun ga tolong gimana,126
Dikit dikit refresh dikit dikit refresh. Apalah x ni,1,negative,dikit dikit refresh dikit dikit refresh apa x ni,48
"APK PALING GA JELAS, MAU GANTI NOMER/EMAIL HARUS NUNGGU 48 JAM MULU PADAHAL AKUN PRIBADI, ABIS GANTI PASSWORD PAS MASUKIN ULANG PASSWORD NYA MALAH SALAH PADAHAL PASSWORD NYA BENER",1,negative,apk ga ganti nomer email nunggu jam mulu akun pribadi abis ganti password pas masukin ulang password nya salah password nya bener,129
Saya ingon punya apk ini,5,positive,ingon apk,9
Lemot jadi ga seru,1,negative,lot ga seru,11
Sekarang tambah ribet setelah ganti jadi x..dulu enak banget,1,negative,ribet ganti x enak banget,25
Masih mantulll benerrr ngak ada iklan2 ngak kayak sebelah...,5,positive,mantull benerr ngak iklan ngak kayak belah,42
Ini kenapa dari kemarin gak bisa play video dari x deh?,1,negative,kemarin gak play video x deh,28
"Gajelas bgt GASUKA,banyak vidio gajelas,padahal wifi lancar tapi mau liat vidio lemot",1,negative,gajelas bgt gasuka vidio gajelas wifi lancar liat vidio lot,59
Perogaram ya rusak gak bisa kirim kode ya,1,negative,perogaram ya rusak gak kirim kode ya,36
Memberikan manfaat & ilmu,4,positive,manfaat ilmu,12
okay x is the best,5,positive,okay x is the best,18
"Where did twitter disapper? 😰 and i means aplikasi new ""X"" oh same twitter......",2,negative,where did twitter disapper and i means aplikasi new x oh same twitter,69
kontennya di saring lagi,1,negative,konten saring,13
Aplikasi banyak link bokep,1,negative,aplikasi link bokep,19
alaaah...kesalahan teknis terus...yang diposting ulang hilang semua...login susah..lemot sering mengulang,1,negative,alaah salah teknis diposting ulang hilang login susah lot ulang,63
"apa cb, tiba² akun gw keluar sendiri. udh 3 kali kyk gini bjir",1,negative,cb tiba akun gw udh kali kyk gin bjir,37
Keterhubungan masih perlu agar bisa saling terhubung yg sekomunitas,4,positive,hubung hubung yg komunitas,26
"tolong di perbaiki ya soalnya aku asal buka twit sama ke pencarian selalu gabisa dan ada bacaan ""ada kesalahan teknis""",1,negative,tolong baik ya buka twit cari gabisa baca salah teknis,54
"makin aneh, gamau update sii, masi betah ama burung biru",4,positive,aneh gamau update sii mas betah ama burung biru,47
"Makin gak jelas,, video kadang tak bisa di putar",1,negative,gak video kadang putar,22
Sekarang jd lemot dan kenapa akunnya ditangguhkan sampai lama sekali,1,negative,jd lot akun tangguh,19
Makin ruwet parah ndakjelas,1,negative,ruwet parah ndakjelas,21
tidak bisa dibuka aneh,1,negative,buka aneh,9
Yang saya lihat aplikasi ini dari teman sangat oke untuk digunakan,4,positive,lihat aplikasi teman oke,24
Keren bosku,5,positive,keren bos,9
sering keluar sendiri pas buka apk twitteran,1,negative,pas buka apk twitteran,22
"Nonton video sekarang udh gak bisa, makin kesini makin gk jelas.aku un instal saja.",1,negative,nonton video udh gak kesini gk un instal,40
"Buat yg mau nyari temen bisa langsung download aja, pokoknya multifungsi",5,positive,yg nyari temen langsung download aja pokok multifungsi,54
Ceh aplikasinya jelek. Gak suka. Dan gua juga nggak pernah pake karena jelek.,1,negative,ceh aplikasi jelek gak suka gua nggak pake jelek,48
Ga jelass,1,negative,ga jelass,9
"Sangat tidak puas dengan aplikasi ini, ketika saya buka aplikasi mengapa tidak masuk selalu error' mohon di perbaiki supaya ke depan nya lebih bagus lagi aplikasi nya🙏🙏",1,negative,puas aplikasi buka aplikasi masuk error mohon baik nya bagus aplikasi nya,73
"Semenjak JD x buat buka link g bs ,lemot kembalikan Twitter yg dulu plissss 😭",1,negative,semenjak jd x buka link g bs lot kembali twitter yg pliss,57
Sangat membantu pertemanan sedunia,5,positive,bantu teman dunia,17
SERING KE LOG OUT. SERING EROR. PAYAH. UNTUNG HP 1 LG BLM PERNAH UPDATE TWITTER,1,negative,log out eror payah untung hp lg blm update twitter,50
Jadi banyak affiliate nya,1,negative,affiliate nya,13
Banyak bug. Daftar aja susah banget tiba tiba keluar. Mungkin developernya sibuk bikin roket mau kebulan hehe,1,negative,bug daftar aja susah banget developer sibuk bikin roket kebul hehe,66
"x knp sih, kok gbs login mulu, bug parah bgt hampir sebulan loh... gue mau lanjut baca AU tlg",1,negative,x knp sih gbs login mulu bug parah bgt bulan loh gue baca au tlg,64
Semenjak update jdi x apk turun drastis dan suka keluar sendiri,1,negative,semenjak update jdi x apk turun drastis suka,44
Berita lebih updat,5,positive,berita updat,12
Menyejukkan mata 😎,1,negative,sejuk mata,10
"Ccd akun ilang semua terus gabisa ngapa2in, mau bikin baru gabisa",1,negative,ccd akun ilang gabisa ngapain bikin gabisa,42
Sangat tida direkomendasikan,1,negative,tida rekomendasi,16
Bikin nama pengguna nya ribet dah padahal ngikutin caranya @. Ehk kesalahan Mulu hayang na naon,4,positive,bikin nama guna nya ribet dah ngikutin ehk salah mulu hayang na naon,68
Banyak adegan yang ga layak,1,negative,adegan ga layak,15
"Video sudah dipindah seribu kali, tp suara video pertama masih ada. Sistem lucu dan itu dari dulu.",1,negative,video pindah ribu kali tp suara video sistem lucu,49
Bagus.. tapi takut kena banned,5,positive,bagus takut kena banned,23
Nyedot kuotanya terlalu besar jg akunnya enggk bisa tenar'' tidak semudah di Facebook dan diinstagram langsung dpt banyak tmn pada mnta pertemanan serta like''nya dri tmn'' distory,3,neutral,nyedot kuota jg akun enggk tenar mudah facebook diinstagram langsung dpt tmn mnta teman like nya dri tmn distory,112
Banyak situs tidak baik,1,negative,situs,5
Sering ngelag. Segera perbaiki atau aku uninstall,2,negative,ngelag baik uninstall,21
Mau login ngak bisa,1,negative,login ngak,10
semua yang saya cari ada,5,positive,cari,4
Susah login ulang. Mohon dipermudah,1,negative,susah login ulang mohon mudah,29
X kok nggak bisa di akses?,1,negative,x nggak akses,13
akun ku suka ilang semenjak ganti jadi x,3,neutral,akun ku suka ilang semenjak ganti x,35
Membuat informasi tepat dan menambah wawasan global,5,positive,informasi tambah wawas global,29
Bagus tapi tolong jangan dibatasi pertemanan ya,5,positive,bagus tolong batas teman ya,27
X now is quiet simple and more exciting.,5,positive,x now is quiet simple and more exciting,39
Sering ke logout sendiri kocakk,1,negative,logout kocakk,13
mau login gk bisa,1,negative,login gk,8
